Organization,Nom de l'entreprise,Number of employees (last value) - Date,NACE Rev.2 Code principal,Ville,Code ISO Pays,Date de création,Total de l'Actif (Dernière année) mUSD (Taux de change à la dernière date de clôture)
Koç Holding AS,KOC HOLDING A.S.,43465,K - Activités financières et d'assurance,KUZGUNCUK,TR,1963,23791.153085032853
Kohlberg Kravis Roberts & Co. Ltd,KOHLBERG KRAVIS ROBERTS & CO. LTD,NA,K - Activités financières et d'assurance,LONDON,GB,36090,31.577738632202148
KPMG,KPMG LLP,43008,"M - Activités spécialisées, scientifiques et techniques",LONDON,GB,37309,2121.3634431362152
LANXESS AG,LANXESS AG,43465,C - Industrie manufacturière,KOLN,DE,2005,9946.6200121641159
Lazard,LAZARD FRERES BANQUE SA,43465,K - Activités financières et d'assurance,PARIS CEDEX 08,FR,NA,1496.5844541382789
Lego Group A/S,LEGO JURIS A/S,NA,N - Activités de services administratifs et de soutien,BILLUND,DK,38139,215.97079849243164
Levi Strauss & Co.,LEVI STRAUSS & CO.,43429,C - Industrie manufacturière,SAN FRANCISCO,US,25895,3542.6599999999999
Liberty Global Inc.,LIBERTY GLOBAL INC,NA,J - Information et communication,DENVER,US,2015,n.d.
LIXIL Corporation,LIXIL GROUP CORPORATION,43555,C - Industrie manufacturière,TOKYO,JP,1949,18567.833482183516
Lockheed Martin Corporation,LOCKHEED MARTIN CORP,43465,C - Industrie manufacturière,BETHESDA,US,34575,44876
Louis Dreyfus Group,LOUIS DREYFUS COMPANY B.V.,43100,G - Commerce; réparation d'automobiles et de motocycles,ROTTERDAM,NL,38349,20393.999999998701
Lulu Group International,LULU GROUP INTERNATIONAL LLC,43100,G - Commerce; réparation d'automobiles et de motocycles,ABU DHABI,AE,39812,n.d.
Mahindra & Mahindra Ltd,MAHINDRA & MAHINDRA LIMITED,43555,C - Industrie manufacturière,MUMBAI,IN,1945,23621.294748342221
Majid Al Futtaim Holding,MAJID AL FUTTAIM HYPERMARKETS LLC,43465,G - Commerce; réparation d'automobiles et de motocycles,DUBAI,AE,35066,n.d.
ManpowerGroup,MANPOWERGROUP INC.,43465,N - Activités de services administratifs et de soutien,MILWAUKEE,US,32975,8519.7999999999993
Marriott International Inc.,MARRIOTT INTERNATIONAL INC,43465,I - Hébergement et restauration,BETHESDA,US,35692,23696
Mercer (MMC),MARSH & MCLENNAN COMPANIES INC,43465,K - Activités financières et d'assurance,NEW YORK,US,25279,21578
MasterCard,MASTERCARD,43465,K - Activités financières et d'assurance,"NEW YORK, NY",US,1966,24860
McKinsey & Company,MCKINSEY & CO INC,NA,"M - Activités spécialisées, scientifiques et techniques",NEW YORK,US,1926,n.d.
Merck,"MERCK & CO., INC.",43465,C - Industrie manufacturière,KENILWORTH,US,25777,82637
Microsoft Corporation,MICROSOFT CORPORATION,43646,J - Information et communication,REDMOND,US,34234,286556
Mitsubishi Corporation,MITSUBISHI CORPORATION,43555,G - Commerce; réparation d'automobiles et de motocycles,TOKYO,JP,1950,149051.57520025966
Mitsui & Co. Ltd,MITSUI & CO LTD,43190,G - Commerce; réparation d'automobiles et de motocycles,TOKYO,JP,1947,107697.25496855844
Mizuho Financial Group Inc.,MIZUHO FINANCIAL GROUP,43555,K - Activités financières et d'assurance,TOKYO,JP,2003,104914.50151142851
Moore Capital Management,MOORE CAPITAL HOLDINGS LLC,2018,"M - Activités spécialisées, scientifiques et techniques",NEW YORK,US,1999,n.d.
Morgan Stanley,MORGAN STANLEY,43465,K - Activités financières et d'assurance,"NEW YORK, NY",US,8767,853531.00799999991
Nasdaq Inc.,"NASDAQ, INC.",43465,K - Activités financières et d'assurance,NEW YORK,US,29172,15700
Naspers Limited,NASPERS LIMITED,43555,J - Information et communication,CAPE TOWN,ZA,1915,33685
Nedbank Group,NEDBANK GROUP LIMITED,43465,K - Activités financières et d'assurance,JOHANNESBURG,ZA,01/01/1888,72532.423321604729
Nestlé SA,NESTLE S.A.,43465,C - Industrie manufacturière,VEVEY,CH,1866,139143.90328168869
Neusoft Corporation,NEUSOFT CORPORATION,43465,J - Information et communication,SHENYANG,CN,35218,1981.6005253554581
Newmont Mining Corporation,NEWMONT GOLDCORP CORPORATION,43465,C - Industrie manufacturière,GREENWOOD VILLAGE,US,37231,20715
